,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
290,JUJUY_SAN ANTONIO,"San Antonio, Jujuy",LA LIBERTAD AVANZA,4.39,0,0.21,1.21,31.26,41.05,0.14,0.12,0.38,0.4,0.33,0.5,0,0,20,185,0,9,51,1316,1728,6,5,16,17,14,21,0,0,842,73.36,6036,4428,3.86,0.05,1.02,171,2
291,JUJUY_SAN PEDRO,"San Pedro, Jujuy",LA LIBERTAD AVANZA,4.67,0.08,0.15,2.04,24.87,36.21,0.27,0.17,0.27,0.26,0.27,0.69,0,0,30.04,2118,36,69,925,11281,16423,122,75,124,120,123,315,2,1,13627,72.78,65737,47843,4.2,0.04,0.95,2008,18
292,JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",UNION POR LA PATRIA,3.62,0,0.23,0.88,28.12,30.34,0.21,0.18,1.08,0.21,0.36,0.59,0.01,0,34.17,377,0,24,92,2929,3160,22,19,112,22,37,61,1,0,3559,71.38,15454,11031,4.88,0.03,0.68,538,3
293,JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",UNION POR LA PATRIA,6.21,0,0.07,1.18,20.38,31.22,0.13,0,0.2,0.07,0.65,0.26,0,0,39.65,95,0,1,18,312,478,2,0,3,1,10,4,0,0,607,65.99,2561,1690,7.75,0.06,1.6,131,1
294,JUJUY_SUSQUES,"Susques, Jujuy",LA LIBERTAD AVANZA,7.27,0.05,0.25,0.81,16.01,40.09,0.56,0.66,0.71,0.71,0.41,0.71,0.05,0,31.71,143,1,5,16,315,789,11,13,14,14,8,14,1,0,624,60.78,3478,2114,4.35,0.38,2.18,92,8
295,JUJUY_TILCARA,"Tilcara, Jujuy",LA LIBERTAD AVANZA,10.8,0,0.27,1.18,18.8,34.19,0.33,0.12,0.84,0.36,0.41,0.65,0,0,32.04,875,0,22,96,1523,2770,27,10,68,29,33,53,0,0,2596,71.09,11971,8510,3.01,0.08,1.7,256,7
296,JUJUY_TUMBAYA,"Tumbaya, Jujuy",LA LIBERTAD AVANZA,7.19,0,0.11,1.21,28.29,35.65,0.22,0.08,0.28,0.22,0.3,0.28,0,0,26.17,261,0,4,44,1027,1294,8,3,10,8,11,10,0,0,950,74.55,5132,3826,4.05,0.1,0.97,155,4
297,JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",UNION POR LA PATRIA,1.98,0,0,1.98,37.35,13.04,0,0,0,0.4,0,0,0,0,45.26,10,0,0,10,189,66,0,0,0,2,0,0,0,0,229,17.94,2904,521,0.19,2.11,0.58,1,11
298,JUJUY_YAVI,"Yavi, Jujuy",LA LIBERTAD AVANZA,12.23,0,0.39,1.82,14.15,40.32,0.49,0.26,0.35,0.51,0.44,0.49,0,0,28.54,1395,0,44,208,1614,4598,56,30,40,58,50,56,0,0,3254,67.64,18159,12283,5.06,0.06,2.05,621,7
299,LA PAMPA_ATREUCO,"Atreuco, La Pampa",JUNTOS POR EL CAMBIO,0.91,0.02,0.36,2.44,35.1,32.38,0.39,0.15,0.58,0.33,0.27,0.02,0,0,27.05,60,1,24,161,2315,2136,26,10,38,22,18,1,0,0,1784,67.54,10147,6853,2.38,0,1.37,163,0
300,LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",UNION POR LA PATRIA,2.42,4.13,0.55,3.67,25.9,25.2,1.01,0.62,0.55,1.72,0.47,0,0,0,33.78,31,53,7,47,332,323,13,8,7,22,6,0,0,0,433,61.82,2237,1383,4.34,0.8,2.17,60,11
301,LA PAMPA_CAPITAL,"Capital, La Pampa",UNION POR LA PATRIA,2.54,0.01,0.22,4.13,27.12,28.82,0.68,0.22,0.37,0.49,0.37,1.38,0,0,33.63,1618,6,141,2629,17261,18337,434,142,234,313,237,878,3,2,21401,68.8,96127,66135,1.68,0.45,1.65,1110,300
302,LA PAMPA_CATRILO,"Catrilo, La Pampa",LA LIBERTAD AVANZA,0.84,0,0.34,2.61,24.93,36.94,0.27,0.29,0.34,0.42,0.42,0.02,0,0,32.57,40,0,16,124,1183,1753,13,14,16,20,20,1,0,0,1546,69.9,7057,4933,2.19,0.08,1.52,108,4
303,LA PAMPA_CHALILEO,"Chalileo, La Pampa",UNION POR LA PATRIA,1.35,0,0.25,1.41,21.33,32.27,0.49,0.25,0.18,0.55,0.49,0,0,0,41.43,22,0,4,23,347,525,8,4,3,9,8,0,0,0,674,61.66,2731,1684,2.79,0.06,0.53,47,1
304,LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",LA LIBERTAD AVANZA,1.26,0,0.4,3.88,32.7,36.71,0.51,0.18,0.38,0.31,0.45,0,0,0,23.22,92,0,29,284,2391,2684,37,13,28,23,33,0,0,0,1698,68.35,11079,7572,2.35,0.03,1.06,178,2
305,LA PAMPA_CHICAL CO,"Chical Co, La Pampa",UNION POR LA PATRIA,1.05,0,0.58,0.82,21.61,31.54,0.7,0.58,0.58,0.93,0.58,0,0,0,41,9,0,5,7,185,270,6,5,5,8,5,0,0,0,351,59.91,1474,883,1.36,0.57,1.13,12,5
306,LA PAMPA_CONHELO,"Conhelo, La Pampa",LA LIBERTAD AVANZA,1.13,0,0.3,2.56,29.74,35.83,0.33,0.25,0.38,0.36,0.55,0.6,0,0,27.97,98,0,26,223,2589,3119,29,22,33,31,48,52,0,0,2435,68.62,13151,9024,2.07,0.03,1.43,187,3
307,LA PAMPA_CURACO,"Curaco, La Pampa",UNION POR LA PATRIA,0.19,0,0.94,0.94,16.76,25.42,0.19,0.38,0.75,0.19,0.19,0,0,0,54.05,1,0,5,5,89,135,1,2,4,1,1,0,0,0,287,60.72,891,541,1.48,0,0.37,8,0
308,LA PAMPA_GUATRACHE,"Guatrache, La Pampa",JUNTOS POR EL CAMBIO,1.39,0,0.33,1.97,39.38,35.81,0.46,0.23,0.39,0.5,0.33,0.73,0,0,18.48,72,0,17,102,2042,1857,24,12,20,26,17,38,0,0,958,64.43,8308,5353,2.58,0,0.56,138,0
309,LA PAMPA_HUCAL,"Hucal, La Pampa",JUNTOS POR EL CAMBIO,1.7,0,0.31,5.93,33.74,28.33,0.63,0.29,0.67,0.87,0.49,0,0,0,27.03,76,0,14,265,1509,1267,28,13,30,39,22,0,0,0,1209,65.88,7227,4761,4.68,0,1.39,223,0
310,LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",UNION POR LA PATRIA,0,0,0,1.3,29.22,31.82,1.3,0.65,0,0.65,0,0,0,0,35.06,0,0,0,2,45,49,2,1,0,1,0,0,0,0,54,57.72,272,157,1.27,0,0.64,2,0
311,LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",LA LIBERTAD AVANZA,0,0,0,1.27,22.78,42.41,0,0,0.63,0,0.63,0,0,0,32.28,0,0,0,2,36,67,0,0,1,0,1,0,0,0,51,43.9,385,169,2.96,0,3.55,5,0
312,LA PAMPA_LOVENTUE,"Loventue, La Pampa",UNION POR LA PATRIA,1.92,0,0.38,3,27.26,30.45,0.5,0.21,0.25,0.58,0.33,0.15,0,0,34.97,100,0,20,156,1418,1584,26,11,13,30,17,8,0,0,1819,65.92,8171,5386,1.8,0.35,1.26,97,19
313,LA PAMPA_MARACO,"Maraco, La Pampa",LA LIBERTAD AVANZA,2.02,0.26,0.31,4.52,28.88,36.92,0.71,0.22,0.37,0.69,0.38,0.6,0,0.04,24.08,771,98,119,1726,11034,14106,271,85,143,262,145,228,0,15,9199,72.15,54714,39478,1.72,0.04,1.47,679,17
314,LA PAMPA_PUELEN,"Puelen, La Pampa",LA LIBERTAD AVANZA,1.36,0,0.69,3.36,17.41,53.66,0.4,0.24,0.28,0.72,0.21,0,0,0,21.67,79,0,40,195,1010,3113,23,14,16,42,12,0,0,0,1257,65.78,9080,5973,1.34,0.03,1.51,80,2
315,LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",JUNTOS POR EL CAMBIO,2.04,0,0.18,3.3,40.98,31.69,0.46,0.18,0.44,0.36,0.46,0,0,0,19.89,101,0,9,164,2034,1573,23,9,22,18,23,0,0,0,987,65.5,7799,5108,1.59,0.06,1.19,81,3
316,LA PAMPA_RANCUL,"Rancul, La Pampa",LA LIBERTAD AVANZA,1.1,0.17,0.22,2.88,29.89,33.1,0.45,0.21,0.49,0.3,0.39,0.04,0,0,30.77,59,9,12,154,1601,1773,24,11,26,16,21,2,0,0,1648,57.15,9726,5558,2.28,0,1.35,127,0
317,LA PAMPA_REALICO,"Realico, La Pampa",LA LIBERTAD AVANZA,0.95,0.03,0.31,4.22,33.26,35.82,0.31,0.16,0.26,0.3,0.31,0.07,0,0,24.02,96,3,31,426,3358,3616,31,16,26,30,31,7,0,0,2425,68.68,15241,10468,2.26,0.06,1.23,237,6
318,LA PAMPA_TOAY,"Toay, La Pampa",LA LIBERTAD AVANZA,2.08,0,0.25,3.78,24.83,33.72,0.51,0.17,0.27,0.39,0.39,1.28,0,0,32.32,216,0,26,393,2578,3502,53,18,28,41,40,133,0,0,3356,72.21,14943,10791,2.1,0.03,1.64,227,3
319,LA PAMPA_TRENEL,"Trenel, La Pampa",UNION POR LA PATRIA,1.07,0,0.26,4.35,25.17,30.21,0.49,0.32,0.67,0.41,0.38,0,0,0,36.67,37,0,9,150,869,1043,17,11,23,14,13,0,0,0,1266,70.77,5057,3579,2.4,0.03,1.12,86,1
320,LA PAMPA_UTRACAN,"Utracan, La Pampa",LA LIBERTAD AVANZA,1.25,0,0.26,2.84,33.72,36.78,0.47,0.28,0.35,0.34,0.41,0.89,0.01,0.06,22.36,117,0,24,266,3161,3448,44,26,33,32,38,83,1,6,2096,68.79,14286,9828,3.05,0.04,1.52,300,4
321,LA RIOJA_ARAUCO,"Arauco, La Rioja",UNION POR LA PATRIA,0.39,0,0.23,3.43,12.69,37.02,0.28,0.11,0.17,0.15,0.23,0,0,0.18,45.13,28,0,17,249,921,2687,20,8,12,11,17,0,0,13,3276,56.4,13164,7424,1.58,0.12,0.53,117,9
322,LA RIOJA_CAPITAL,"Capital, La Rioja",LA LIBERTAD AVANZA,1.28,0.05,0.18,8.28,22.6,37.48,0.3,0.19,0.19,0.5,0.19,0.39,0.01,0.27,28.1,1376,54,197,8933,24390,40445,319,200,204,539,202,426,7,293,30325,67.48,163861,110572,1.69,0.07,0.65,1865,79
323,LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",UNION POR LA PATRIA,0.78,0,0.45,4.9,21.14,26.66,0.32,0.1,0.13,0.03,0.26,0.03,0,0.13,45.06,24,0,14,151,651,821,10,3,4,1,8,1,0,4,1388,60.85,5152,3135,1.24,0.1,0.41,39,3
324,LA RIOJA_CHAMICAL,"Chamical, La Rioja",LA LIBERTAD AVANZA,0.64,0,0.31,8.96,19.39,38.22,0.24,0.09,0.24,0.26,0.27,0.03,0,0.47,30.88,45,0,22,629,1361,2682,17,6,17,18,19,2,0,33,2167,57.84,12701,7346,3.61,0.15,0.71,265,11
325,LA RIOJA_CHILECITO,"Chilecito, La Rioja",LA LIBERTAD AVANZA,0.8,0,0.26,6.21,19.1,45.93,0.31,0.19,0.17,0.24,0.27,0.01,0,0.19,26.32,213,1,69,1660,5102,12270,83,52,45,63,73,2,0,51,7031,62.21,43967,27353,1.78,0.08,0.47,488,22
326,LA RIOJA_CORONEL FELIPE VARELA,"Coronel Felipe Varela, La Rioja",UNION POR LA PATRIA,0.51,0,0.3,4.15,15.48,32.59,0.21,0.2,0.12,0.21,0.26,0.02,0.05,0.25,45.66,31,0,18,252,940,1979,13,12,7,13,16,1,3,15,2773,70.03,9052,6339,3.69,0.06,0.44,234,4
327,LA RIOJA_FAMATINA,"Famatina, La Rioja",UNION POR LA PATRIA,0.64,0,0.27,5.5,21.57,32.33,0.43,0.18,0.27,0.33,0.55,0,0,0.21,37.71,21,0,9,181,710,1064,14,6,9,11,18,0,0,7,1241,61.54,5450,3354,1.28,0.12,0.48,43,4
328,LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Penaloza, La Rioja",UNION POR LA PATRIA,0.21,0,0.42,3.54,17.51,30.02,0.21,0.35,0.28,0.07,0.14,0,0,0.28,46.98,3,0,6,51,252,432,3,5,4,1,2,0,0,4,676,54.96,2671,1468,1.43,0.34,0.2,21,5
329,LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",LA LIBERTAD AVANZA,0.46,0,0.43,9.71,22.7,34.98,0.34,0.18,0.15,0.31,0.31,0,0,0.25,30.19,15,0,14,316,739,1139,11,6,5,10,10,0,0,8,983,49.5,6743,3338,2.07,0.12,0.27,69,4
330,LA RIOJA_GENERAL JUAN F. QUIROGA,"General Juan F. Quiroga, La Rioja",UNION POR LA PATRIA,0.28,0,0.62,6.86,18.65,25.85,0.57,0.34,0.62,0.34,0.57,0,0,0.51,44.78,5,0,11,121,329,456,10,6,11,6,10,0,0,9,790,53.15,3490,1855,3.88,0.49,0.54,72,9
331,LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",UNION POR LA PATRIA,0.31,0,0.16,2.81,14.84,31.56,0.16,0,0.16,0.47,0,0,0,0.31,49.22,2,0,1,18,95,202,1,0,1,3,0,0,0,2,315,37.21,1782,663,2.26,0,1.21,15,0
332,LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",UNION POR LA PATRIA,0.41,0,0.33,4.58,12.53,23.46,0.38,0.14,0.35,0.08,0.35,0,0,0.16,57.22,15,0,12,168,460,861,14,5,13,3,13,0,0,6,2100,56.26,6736,3790,2.45,0.11,0.61,93,4
333,LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",UNION POR LA PATRIA,0.83,0,0.2,5.48,20.85,31.13,0.39,0.15,0.2,0.24,0.15,0,0,0.29,40.09,17,0,4,112,426,636,8,3,4,5,3,0,0,6,819,53.17,4209,2238,0.98,7.37,0.36,22,165
334,LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",UNION POR LA PATRIA,0.65,0,0.22,2.16,15.9,20.94,0.29,0.29,0.07,0.43,0.43,0,0,0.22,58.42,9,0,3,30,221,291,4,4,1,6,6,0,0,3,812,56.75,2511,1425,2.04,0,0.42,29,0
335,LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",UNION POR LA PATRIA,0.63,0.23,0.43,3.79,16.21,33.99,0.35,0.2,0.32,0.33,0.28,0,0,0.22,43.02,38,14,26,228,975,2045,21,12,19,20,17,0,0,13,2588,46.01,13764,6333,1.64,2.84,0.52,104,180
336,LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",UNION POR LA PATRIA,0.3,0,0.17,1.52,20.91,29.42,0.25,0.13,0.08,0.13,0.3,0.04,0,0.34,46.4,7,0,4,36,494,695,6,3,2,3,7,1,0,8,1096,68.17,3544,2416,1.9,0,0.33,46,0
337,LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",UNION POR LA PATRIA,0.65,0,0.19,7.51,16.6,22.77,0.28,0.05,0.23,0.37,0.19,0,0,0.32,50.83,14,0,4,162,358,491,6,1,5,8,4,0,0,7,1096,70.43,3098,2182,0.92,0,0.27,20,0
338,LA RIOJA_VINCHINA,"Vinchina, La Rioja",UNION POR LA PATRIA,0.42,0,0.07,5.19,16.49,28.84,0.28,0.28,0,0.14,0.07,0.07,0,0.14,48,6,0,1,74,235,411,4,4,0,2,1,1,0,2,684,59.41,2449,1455,1.79,0.21,0.07,26,3
339,MENDOZA_CAPITAL,"Capital, Mendoza",JUNTOS POR EL CAMBIO,3.55,0,0.17,1.19,43.3,33.92,0.34,0.25,0.31,1.28,0.22,0.7,0.01,0,14.76,2438,1,120,815,29721,23280,232,173,211,880,149,479,5,1,10129,70.43,100442,70743,1.38,0.1,1.5,977,70
340,MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",LA LIBERTAD AVANZA,1.81,0.03,0.46,3.4,28.97,40.31,0.46,0.29,0.44,0.82,0.36,0.94,0,0.01,21.7,434,8,111,814,6937,9652,109,70,105,196,86,224,1,3,5195,64.69,38553,24939,2.46,0.09,1.44,613,23
341,MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",LA LIBERTAD AVANZA,3.68,0.01,0.23,1.38,35.6,40.79,0.38,0.34,0.31,1.38,0.23,0.78,0,0.01,14.88,4037,8,251,1515,39083,44774,412,376,343,1510,252,858,4,10,16337,71.26,159780,113861,1.79,0.1,1.7,2040,112
342,MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",LA LIBERTAD AVANZA,3.6,0,0.23,1.2,30.51,46.57,0.37,0.34,0.32,1.94,0.3,0.64,0.01,0.01,13.97,5928,1,385,1971,50275,76731,606,561,521,3198,493,1058,15,13,23013,72.25,236488,170854,1.71,0.08,1.78,2919,132
343,MENDOZA_JUNIN,"Junin, Mendoza",LA LIBERTAD AVANZA,2.74,0,0.29,1.16,29.01,48.91,0.46,0.33,0.33,1.69,0.31,0.62,0.01,0,14.13,752,0,80,319,7950,13401,126,90,90,464,85,171,2,0,3871,76.02,37398,28430,1.87,0.05,1.7,531,15
344,MENDOZA_LA PAZ,"La Paz, Mendoza",UNION POR LA PATRIA,0.55,0,0.15,0.43,29.57,27.46,0.19,0.07,0.15,0.35,0.11,0.29,0,0,40.67,40,0,11,31,2135,1982,14,5,11,25,8,21,0,0,2936,77.76,9463,7358,1.26,0.05,0.57,93,4
345,MENDOZA_LAS HERAS,"Las Heras, Mendoza",LA LIBERTAD AVANZA,3.88,0.02,0.28,1.39,25.38,47.04,0.48,0.42,0.41,1.27,0.34,0.84,0,0.01,18.25,4389,21,317,1572,28718,53225,540,471,468,1439,383,952,0,14,20649,69.94,168582,117905,2,0.09,1.93,2354,112
346,MENDOZA_LAVALLE,"Lavalle, Mendoza",LA LIBERTAD AVANZA,2.68,0,0.25,0.98,15.82,47.61,0.38,0.29,0.58,3.22,0.41,0.75,0,0.06,26.95,666,1,63,243,3925,11815,95,73,144,800,102,185,0,14,6688,70.63,36260,25610,1.71,0.06,1.34,438,16
347,MENDOZA_LUJAN DE CUYO,"Lujan De Cuyo, Mendoza",LA LIBERTAD AVANZA,3.18,0,0.23,1.18,33.36,45.81,0.37,0.34,0.38,1.76,0.27,0.73,0,0.01,12.38,2413,0,171,892,25317,34770,283,259,291,1338,206,554,1,4,9396,67.84,115829,78579,1.59,0.08,1.75,1247,62
348,MENDOZA_MAIPU,"Maipu, Mendoza",LA LIBERTAD AVANZA,3.61,0,0.23,1.32,24.45,50.77,0.39,0.36,0.31,1.24,0.27,0.59,0,0.02,16.44,3926,4,250,1439,26619,55288,422,396,341,1355,292,641,1,20,17897,73.47,153779,112978,1.78,0.09,1.75,2010,100
349,MENDOZA_MALARGÜE,"Malargüe, Mendoza",LA LIBERTAD AVANZA,2.16,0.01,0.47,2.16,24.13,45.52,0.38,0.34,0.55,0.46,0.35,1.06,0.01,0,22.39,359,1,78,359,4012,7568,64,57,92,77,59,176,1,0,3723,69.08,25305,17481,3.21,0.07,1.6,562,13
350,MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",LA LIBERTAD AVANZA,2.5,0.04,0.21,1.26,26.88,47.86,0.43,0.28,0.28,2.67,0.31,0.49,0,0.04,16.74,808,14,67,409,8695,15480,139,90,92,865,100,158,1,14,5415,72.91,46146,33647,2.19,0.05,1.62,738,16
